fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,total_acidity,acid_to_sugar_ratio,bound_sulfur_dioxide,is_red
8.8,0.6799999999999999,0.26,1.6,0.088,16.0,23.0,0.99694,3.32,0.47,9.4,5,9.74,6.087461953362791,7.0,1
7.6,0.665,0.1,1.5,0.066,27.0,55.0,0.99655,3.39,0.51,9.3,5,8.365,5.576629489136739,28.0,1
6.7,0.28,0.28,2.4,0.012,36.0,100.0,0.99064,3.26,0.39,11.7,7,7.260000000000001,3.0249873958858506,64.0,1
9.65,0.31,0.35,1.6,0.075,9.0,28.0,0.99672,3.24,0.83,11.2,7,10.31,6.443709726814207,19.0,1
6.0,0.5,0.04,2.2,0.092,13.0,26.0,0.99647,3.46,0.47,10.0,5,6.54,2.972713760391998,13.0,1
9.65,0.42,0.47,2.65,0.085,9.0,34.0,0.99736,3.24,0.77,12.1,7,10.540000000000001,3.977343481722711,25.0,1
6.6,0.66,0.0,3.0,0.10800000000000001,21.0,31.0,0.99629,3.45,0.63,10.3,5,7.26,2.419991933360222,10.0,1
9.65,0.5,0.45,2.6,0.10800000000000001,34.0,68.0,0.99708,3.23,0.72,10.9,6,10.6,4.076907396510013,34.0,1
7.1,0.6799999999999999,0.35,2.0,0.088,9.0,92.0,0.9963,3.28,0.62,9.4,5,8.129999999999999,4.064979675101624,83.0,1
9.65,0.25,0.46,1.7,0.062,26.0,42.0,0.9959,3.18,0.83,10.6,6,10.360000000000001,6.094081799518827,16.0,1
6.4,0.64,0.21,1.8,0.081,14.0,31.0,0.99689,3.59,0.66,9.8,5,7.25,4.027755401358881,17.0,1
7.4,0.6799999999999999,0.16,1.8,0.078,12.0,39.0,0.9977,3.5,0.7,9.9,6,8.24,4.577752345820301,27.0,1
6.4,0.63,0.21,1.6,0.08,12.0,32.0,0.99689,3.58,0.66,9.8,5,7.24,4.524971718926756,20.0,1
9.3,0.43,0.44,1.9,0.085,9.0,22.0,0.99708,3.28,0.55,9.5,5,10.17,5.352603407350488,13.0,1
8.0,0.42,0.32,2.5,0.08,26.0,122.0,0.99801,3.22,0.855,9.7,5,8.74,3.495986016055936,96.0,1
9.3,0.36,0.39,1.5,0.08,41.0,55.0,0.99652,3.47,0.73,10.9,6,10.05,6.6999553336311095,14.0,1
7.6,0.6799999999999999,0.02,2.5,0.071,10.0,14.0,0.99538,3.51,0.71,11.7,7,8.299999999999999,3.3199867200531195,4.0,1
8.2,0.26,0.34,2.5,0.073,16.0,47.0,0.99594,3.4,0.78,11.3,7,8.799999999999999,3.5199859200563193,31.0,1
9.65,0.28,0.47,1.7,0.054,17.0,32.0,0.99686,3.15,0.67,10.6,7,10.4,6.117611072876042,15.0,1
6.8,0.56,0.22,1.8,0.074,15.0,24.0,0.99438,3.4,0.82,11.2,6,7.579999999999999,4.211087716179354,9.0,1
7.2,0.62,0.06,2.7,0.077,15.0,85.0,0.99746,3.51,0.54,9.5,5,7.88,2.918507709230706,70.0,1
5.8,0.6799999999999999,0.6400000000000001,2.0,0.039,15.0,88.0,0.99357,3.66,0.6,11.5,6,7.119999999999999,3.559982200088999,73.0,1
7.5,0.42,0.32,2.7,0.067,7.0,25.0,0.99628,3.24,0.44,10.4,5,8.24,3.051840548738708,18.0,1
7.2,0.62,0.06,2.5,0.078,17.0,84.0,0.99746,3.51,0.53,9.7,5,7.88,3.1519873920504318,67.0,1
7.2,0.635,0.07,2.6,0.077,16.0,86.0,0.99748,3.51,0.54,9.7,5,7.905,3.040372921642609,70.0,1
6.8,0.49,0.22,2.3,0.071,13.0,24.0,0.99438,3.41,0.83,11.3,6,7.51,3.2652031947687186,11.0,1
6.9,0.51,0.23,2.0,0.072,13.0,22.0,0.99438,3.4,0.84,11.2,6,7.640000000000001,3.8199809000954996,9.0,1
7.6,0.63,0.03,2.0,0.08,27.0,43.0,0.99578,3.44,0.64,10.9,6,8.26,4.129979350103249,16.0,1
7.7,0.6799999999999999,0.01,2.1,0.064,31.0,43.0,0.99371,3.41,0.57,11.8,6,8.39,3.995219070385379,12.0,1
6.9,0.56,0.03,1.5,0.086,36.0,46.0,0.99522,3.53,0.57,10.6,5,7.490000000000001,4.99330004466637,10.0,1
7.3,0.35,0.24,2.0,0.067,28.0,48.0,0.99576,3.43,0.54,10.0,4,7.89,3.944980275098624,20.0,1
9.1,0.21,0.37,1.6,0.067,6.0,10.0,0.99552,3.23,0.58,11.1,7,9.68,6.049962187736326,4.0,1
9.65,0.38,0.46,2.1,0.104,6.0,10.0,0.99664,3.12,0.65,11.8,7,10.490000000000002,4.995214308503294,4.0,1
8.8,0.31,0.4,2.8,0.10800000000000001,7.0,16.0,0.99614,3.31,0.79,11.8,7,9.510000000000002,3.396416441369853,9.0,1
7.1,0.47,0.0,2.2,0.067,7.0,14.0,0.99517,3.4,0.58,10.9,4,7.569999999999999,3.440893450484315,7.0,1
8.8,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,3.22,0.5,10.0,6,9.6,2.399994000015,39.0,1
7.2,0.6,0.04,2.5,0.076,18.0,88.0,0.99745,3.53,0.55,9.5,5,7.84,3.1359874560501755,70.0,1
9.2,0.56,0.18,1.6,0.078,10.0,21.0,0.99576,3.15,0.49,9.9,5,9.94,6.212461172117673,11.0,1
7.6,0.6799999999999999,0.0,2.1,0.068,30.0,35.0,0.99533,3.48,0.65,11.4,6,8.28,3.942838367436345,5.0,1
8.4,0.31,0.29,3.1,0.10800000000000001,14.0,26.0,0.99536,3.22,0.78,12.0,6,9.0,2.9032164412372863,12.0,1
8.9,0.6799999999999999,0.14,2.5,0.086,9.0,30.0,0.99824,3.34,0.64,10.5,5,9.72,3.887984448062208,21.0,1
9.0,0.6799999999999999,0.12,2.4,0.083,8.0,28.0,0.99836,3.33,0.65,10.4,6,9.799999999999999,4.083316319515335,20.0,1
9.65,0.52,0.38,2.6,0.066,29.0,56.0,0.99577,3.15,0.79,12.1,7,10.55,4.057676701243457,27.0,1
6.8,0.57,0.0,2.5,0.072,32.0,64.0,0.99491,3.43,0.56,11.2,6,7.37,2.947988208047168,32.0,1
9.65,0.6799999999999999,0.34,6.6,0.10800000000000001,23.0,99.0,1.00289,3.22,0.68,9.3,5,10.67,1.6166642171754286,76.0,1
7.2,0.34,0.24,2.0,0.071,30.0,52.0,0.99576,3.44,0.58,10.1,5,7.78,3.8899805500972495,22.0,1
7.2,0.66,0.03,2.3,0.078,16.0,86.0,0.99743,3.53,0.57,9.7,5,7.890000000000001,3.430419867739706,70.0,1
9.65,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,6,10.33,5.436813490455314,8.0,1
7.2,0.63,0.03,2.2,0.08,17.0,88.0,0.99745,3.53,0.58,9.8,6,7.86,3.572711033131667,71.0,1
7.1,0.59,0.01,2.3,0.08,27.0,43.0,0.9955,3.42,0.58,10.7,6,7.699999999999999,3.347811531254212,16.0,1
8.3,0.31,0.39,2.4,0.078,17.0,43.0,0.99444,3.31,0.77,12.5,7,9.000000000000002,3.7499843750651047,26.0,1
8.3,0.6799999999999999,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,3,9.0,2.647051038085182,5.0,1
8.9,0.31,0.36,2.6,0.056,10.0,39.0,0.99562,3.4,0.69,11.8,5,9.57,3.680755074018946,29.0,1
7.4,0.635,0.1,2.4,0.08,16.0,33.0,0.99736,3.58,0.69,10.8,7,8.135,3.389569210128291,17.0,1
6.8,0.59,0.06,6.0,0.06,11.0,18.0,0.9962,3.41,0.59,10.8,7,7.449999999999999,1.2416645972256712,7.0,1
9.2,0.58,0.2,3.0,0.081,15.0,115.0,0.998,3.23,0.59,9.5,5,9.979999999999999,3.32665557781474,100.0,1
7.2,0.54,0.27,2.6,0.084,12.0,78.0,0.9964,3.39,0.71,11.0,5,8.01,3.080757381702378,66.0,1
6.1,0.56,0.0,2.2,0.079,6.0,9.0,0.9948,3.59,0.54,11.5,6,6.66,3.027258967004695,3.0,1
7.4,0.52,0.13,2.4,0.078,34.0,61.0,0.99528,3.43,0.59,10.8,6,8.05,3.354152691030454,27.0,1
7.3,0.305,0.39,1.2,0.059,7.0,11.0,0.99331,3.29,0.52,11.5,6,7.994999999999999,6.662444479629336,4.0,1
9.3,0.38,0.48,3.8,0.10800000000000001,3.0,11.0,0.99577,3.23,0.57,13.2,6,10.160000000000002,2.673677174533752,8.0,1
9.1,0.28,0.46,9.0,0.10800000000000001,3.0,9.0,0.99901,3.18,0.6,10.9,6,9.84,1.0933321185198683,6.0,1
9.65,0.46,0.44,2.9,0.065,4.0,8.0,0.99674,3.33,0.62,12.2,6,10.55,3.637918489936242,4.0,1
9.4,0.395,0.46,4.6,0.094,3.0,10.0,0.99639,3.27,0.64,12.2,7,10.255,2.229342979689175,7.0,1
8.6,0.315,0.4,2.2,0.079,3.0,6.0,0.99512,3.27,0.67,11.9,6,9.315,4.234071663310621,3.0,1
5.3,0.6799999999999999,0.19,1.5,0.10800000000000001,7.0,62.0,0.99395,3.62,0.61,11.0,5,6.17,4.113305911293924,55.0,1
6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64,10.1,6,7.52,0.8545444834721778,19.0,1
8.4,0.36,0.32,2.2,0.081,32.0,79.0,0.9964,3.3,0.72,11.0,6,9.08,4.127253967027422,47.0,1
8.4,0.62,0.12,1.8,0.072,38.0,46.0,0.99504,3.38,0.855,11.8,6,9.139999999999999,5.077749568057954,8.0,1
9.6,0.41,0.37,2.3,0.091,10.0,23.0,0.99786,3.24,0.56,10.5,5,10.379999999999999,4.513023856418015,13.0,1
8.6,0.47,0.27,2.3,0.055,14.0,28.0,0.99516,3.18,0.8,11.2,5,9.34,4.060851909339525,14.0,1
8.6,0.22,0.36,1.9,0.064,53.0,77.0,0.99604,3.47,0.855,11.0,7,9.18,4.831553518139378,24.0,1
9.4,0.24,0.33,2.3,0.061,52.0,73.0,0.99786,3.47,0.855,10.2,6,9.97,4.334763761896688,21.0,1
8.4,0.67,0.19,2.2,0.093,11.0,75.0,0.99736,3.2,0.59,9.2,4,9.26,4.209071776946468,64.0,1
8.7,0.33,0.38,3.3,0.063,10.0,19.0,0.99468,3.3,0.73,12.0,7,9.41,2.8515065105863315,9.0,1
6.6,0.61,0.01,1.9,0.08,8.0,25.0,0.99746,3.66,0.73,10.5,5,7.22,3.7999800001052626,17.0,1
7.4,0.61,0.01,2.0,0.074,13.0,38.0,0.99748,3.48,0.65,9.8,5,8.02,4.0099799501002495,25.0,1
7.6,0.4,0.29,1.9,0.078,29.0,66.0,0.9971,3.45,0.59,9.5,6,8.29,4.363134930868784,37.0,1
8.8,0.3,0.38,2.3,0.06,19.0,72.0,0.99543,3.39,0.72,11.8,6,9.480000000000002,4.1217212099077845,53.0,1
9.65,0.63,0.5,1.4,0.071,6.0,26.0,0.99791,3.07,0.6,10.4,4,10.780000000000001,7.699945000392855,20.0,1
7.2,0.38,0.38,2.8,0.068,23.0,42.0,0.99356,3.34,0.72,12.9,7,7.96,2.842846989832179,19.0,1
6.2,0.46,0.17,1.6,0.073,7.0,11.0,0.99425,3.61,0.54,11.4,5,6.83,4.268723320479246,4.0,1
9.6,0.33,0.52,2.2,0.074,13.0,25.0,0.99509,3.36,0.76,12.4,7,10.45,4.7499784091890485,12.0,1
9.65,0.27,0.49,5.0,0.082,9.0,17.0,0.99484,3.19,0.52,12.5,7,10.41,2.0819958360083284,8.0,1
9.65,0.43,0.4,2.6,0.092,13.0,52.0,0.99834,3.22,0.64,10.0,7,10.48,4.030753727870278,39.0,1
9.65,0.5,0.34,2.3,0.094,10.0,45.0,0.99864,3.24,0.6,9.7,7,10.49,4.560849735435934,35.0,1
8.3,0.3,0.49,3.8,0.09,11.0,24.0,0.99498,3.27,0.64,12.1,7,9.090000000000002,2.3920989681606106,13.0,1
9.65,0.44,0.42,2.0,0.071,7.0,20.0,0.99566,3.14,0.79,11.1,7,10.51,5.254973725131374,13.0,1
9.65,0.44,0.58,4.1,0.092,11.0,24.0,0.99745,3.29,0.855,12.0,7,10.67,2.6024326769934714,13.0,1
8.3,0.28,0.48,2.1,0.093,6.0,12.0,0.99408,3.26,0.62,12.4,7,9.06,4.314265170165856,6.0,1
8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.99552,3.41,0.76,11.9,7,9.469999999999999,5.261081882878427,11.0,1
8.2,0.31,0.4,2.2,0.058,6.0,10.0,0.99536,3.31,0.68,11.2,7,8.91,4.049981590992767,4.0,1
9.65,0.34,0.48,2.1,0.052,5.0,9.0,0.99458,3.2,0.69,12.1,7,10.47,4.985690544330741,4.0,1
7.6,0.43,0.4,2.7,0.082,6.0,11.0,0.99538,3.44,0.54,12.2,6,8.43,3.1222106584790423,5.0,1
8.5,0.21,0.52,1.9,0.09,9.0,23.0,0.99648,3.36,0.67,10.4,5,9.23,4.8578691691096365,14.0,1
9.0,0.36,0.52,2.1,0.10800000000000001,5.0,10.0,0.99568,3.31,0.62,11.3,6,9.879999999999999,4.70473950124047,5.0,1
9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1,6,10.389999999999999,5.1949740251298735,39.0,1
6.4,0.57,0.12,2.3,0.10800000000000001,25.0,36.0,0.99519,3.47,0.71,11.3,7,7.090000000000001,3.0825952930639438,11.0,1
8.0,0.59,0.05,2.0,0.089,12.0,32.0,0.99735,3.36,0.61,10.0,5,8.64,4.319978400108,20.0,1
8.5,0.47,0.27,1.9,0.058,18.0,38.0,0.99518,3.16,0.85,11.1,6,9.24,4.863132299303688,20.0,1
7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.99592,3.27,0.62,9.3,5,7.8,4.874969531440428,11.0,1
6.6,0.57,0.02,2.1,0.10800000000000001,6.0,16.0,0.99654,3.38,0.69,9.5,5,7.1899999999999995,3.423793220032285,10.0,1
8.8,0.27,0.39,2.0,0.1,20.0,27.0,0.99546,3.15,0.69,11.2,6,9.46,4.72997635011825,7.0,1
8.3,0.34,0.4,2.4,0.065,24.0,48.0,0.99554,3.34,0.855,11.0,6,9.040000000000001,3.766650972287616,24.0,1
9.0,0.38,0.41,2.4,0.103,6.0,10.0,0.99604,3.13,0.58,11.9,7,9.790000000000001,4.079149670209708,4.0,1
8.5,0.66,0.2,2.1,0.097,23.0,113.0,0.99733,3.13,0.48,9.2,5,9.36,4.457121632754129,90.0,1
9.0,0.4,0.43,2.4,0.068,29.0,46.0,0.9943,3.2,0.6,12.2,6,9.83,4.095816267432219,17.0,1
6.7,0.56,0.09,2.9,0.079,7.0,22.0,0.99669,3.46,0.61,10.2,5,7.35,2.5344740190551067,15.0,1
9.65,0.26,0.48,1.9,0.066,6.0,10.0,0.99724,3.33,0.855,10.9,6,10.39,5.468392271619623,4.0,1
9.65,0.38,0.5,2.4,0.104,6.0,13.0,0.99643,3.22,0.65,11.6,7,10.530000000000001,4.387481718826172,7.0,1
8.5,0.34,0.44,1.7,0.079,6.0,12.0,0.99605,3.52,0.63,10.7,5,9.28,5.458791418874006,6.0,1
8.8,0.33,0.41,5.9,0.073,7.0,13.0,0.99658,3.3,0.62,12.1,7,9.540000000000001,1.6169464119552341,6.0,1
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,9.4,5,7.91,3.7666487302441416,37.0,1
8.4,0.59,0.29,2.6,0.10800000000000001,31.0,119.0,0.99801,3.15,0.5,9.1,5,9.28,3.5692170414729167,88.0,1
7.0,0.4,0.32,3.6,0.061,9.0,29.0,0.99416,3.28,0.49,11.3,7,7.720000000000001,2.1444384876708678,20.0,1
9.65,0.45,0.49,1.4,0.075,3.0,6.0,0.9969,3.13,0.63,10.4,5,10.59,7.5642316840594,3.0,1
9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,3.32,0.71,10.5,6,9.9,5.210498892111095,9.0,1
9.5,0.6799999999999999,0.26,1.9,0.079,13.0,28.0,0.99712,3.25,0.62,10.0,5,10.44,5.494707922589881,15.0,1
7.3,0.52,0.32,2.1,0.07,51.0,70.0,0.99418,3.34,0.82,12.9,6,8.14,3.8761720182284845,19.0,1
7.4,0.58,0.0,2.0,0.064,7.0,11.0,0.99562,3.45,0.58,11.3,6,7.98,3.9899800500997498,4.0,1
9.65,0.34,0.39,1.4,0.066,3.0,7.0,0.9947,3.19,0.55,11.4,7,10.38,7.4142327554803185,4.0,1
7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.99693,3.44,0.5,9.4,5,7.76,4.849969687689451,35.0,1
7.7,0.39,0.12,1.7,0.097,19.0,27.0,0.99596,3.16,0.49,9.4,5,8.209999999999999,4.82938335656849,8.0,1
9.65,0.295,0.4,1.5,0.073,14.0,21.0,0.99556,3.14,0.51,10.9,6,10.345,6.896620689195405,7.0,1
7.1,0.34,0.28,2.0,0.082,31.0,68.0,0.99694,3.45,0.48,9.4,5,7.72,3.859980700096499,37.0,1
6.5,0.4,0.1,2.0,0.076,30.0,47.0,0.99554,3.36,0.48,9.4,6,7.0,3.4999825000874996,17.0,1
9.65,0.35,0.45,2.5,0.092,20.0,88.0,0.99918,3.15,0.43,9.4,5,10.45,4.179983280066879,68.0,1
7.7,0.6,0.06,2.0,0.079,19.0,41.0,0.99697,3.39,0.62,10.1,6,8.360000000000001,4.1799791001045,22.0,1
5.6,0.66,0.0,2.2,0.087,3.0,11.0,0.99378,3.66,0.63,12.8,7,6.26,2.8454416116290377,8.0,1
8.9,0.6799999999999999,0.34,1.4,0.05,4.0,10.0,0.99554,3.12,0.48,9.1,6,9.92,7.085663673830902,6.0,1
6.4,0.6799999999999999,0.0,1.65,0.055,7.0,12.0,0.99162,3.47,0.53,12.9,6,7.08,4.290883085557057,5.0,1
7.5,0.43,0.3,2.2,0.062,6.0,12.0,0.99495,3.44,0.72,11.5,7,8.23,3.7408920868541506,6.0,1
9.65,0.35,0.38,1.5,0.058,31.0,47.0,0.99676,3.26,0.82,10.6,7,10.38,6.91995386697422,16.0,1
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,7,9.719999999999999,4.741440285657143,14.0,1
6.8,0.36,0.32,1.8,0.067,4.0,8.0,0.9928,3.36,0.55,12.8,7,7.48,4.15553246926406,4.0,1
8.2,0.43,0.29,1.6,0.081,27.0,45.0,0.99603,3.25,0.54,10.3,5,8.919999999999998,5.57496515646777,18.0,1
9.1,0.3,0.34,2.0,0.064,12.0,25.0,0.99516,3.26,0.84,11.7,7,9.74,4.8699756501217495,13.0,1
8.9,0.35,0.4,3.6,0.10800000000000001,12.0,24.0,0.99549,3.23,0.7,12.0,7,9.65,2.6805481095885844,12.0,1
9.6,0.5,0.36,2.8,0.10800000000000001,26.0,55.0,0.99722,3.18,0.68,10.9,5,10.459999999999999,3.7357009439252002,29.0,1
8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55,12.3,7,9.629999999999999,5.664672560749642,5.0,1
8.9,0.32,0.31,2.0,0.088,12.0,19.0,0.9957,3.17,0.55,10.4,6,9.530000000000001,4.764976175119124,7.0,1
7.7,0.6799999999999999,0.15,2.1,0.102,11.0,32.0,0.99604,3.23,0.48,10.0,5,8.530000000000001,4.06188541959324,21.0,1
7.5,0.6799999999999999,0.0,1.6,0.092,22.0,31.0,0.99635,3.38,0.58,10.0,6,8.18,5.112468047074705,9.0,1
8.0,0.58,0.16,2.0,0.10800000000000001,3.0,7.0,0.99454,3.22,0.58,11.2,6,8.74,4.369978150109249,4.0,1
9.65,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,6,10.500000000000002,4.772705578611006,13.0,1
8.9,0.38,0.4,2.2,0.068,12.0,28.0,0.99486,3.27,0.75,12.6,7,9.680000000000001,4.399980000090909,16.0,1
8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7,6,8.549999999999999,9.49989444561727,73.0,1
7.0,0.5,0.14,1.8,0.078,10.0,23.0,0.99636,3.53,0.61,10.4,5,7.64,4.244420864328531,13.0,1
9.65,0.36,0.6400000000000001,2.4,0.10800000000000001,3.0,8.0,0.99642,3.2,0.53,11.9,6,10.65,4.437481510493707,5.0,1
7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.99584,3.35,0.54,10.5,5,7.6,3.6190303855695922,5.0,1
8.2,0.32,0.42,2.3,0.098,3.0,9.0,0.99506,3.27,0.55,12.3,6,8.94,3.8869396220016434,6.0,1
7.7,0.58,0.01,1.8,0.088,12.0,18.0,0.99568,3.32,0.56,10.5,7,8.29,4.605529969277947,6.0,1
8.6,0.6799999999999999,0.0,2.8,0.095,17.0,43.0,0.99822,3.33,0.6,10.4,6,9.28,3.314273877593294,26.0,1
7.9,0.31,0.32,1.9,0.066,14.0,36.0,0.99364,3.41,0.56,12.6,6,8.530000000000001,4.489450055526024,22.0,1
6.4,0.6799999999999999,0.0,2.2,0.065,28.0,52.0,0.99378,3.49,0.52,11.6,5,7.08,3.2181671901491353,24.0,1
7.2,0.34,0.21,2.5,0.075,41.0,68.0,0.99586,3.37,0.54,10.1,6,7.75,3.0999876000496,27.0,1
7.1,0.59,0.0,2.1,0.091,9.0,14.0,0.99488,3.42,0.55,11.5,7,7.6899999999999995,3.661887324346074,5.0,1
7.3,0.55,0.01,1.8,0.093,9.0,15.0,0.99514,3.35,0.58,11.0,7,7.859999999999999,4.36664240754218,6.0,1
8.1,0.6799999999999999,0.0,4.1,0.095,5.0,14.0,0.99854,3.36,0.53,9.6,5,8.78,2.1414581915653867,9.0,1
7.5,0.57,0.08,2.6,0.089,14.0,27.0,0.99592,3.3,0.59,10.4,6,8.15,3.134603328448737,13.0,1
8.9,0.6799999999999999,0.18,2.5,0.077,15.0,48.0,0.99739,3.2,0.47,9.7,6,9.76,3.9039843840624635,33.0,1
9.65,0.37,0.34,2.4,0.085,5.0,17.0,0.99683,3.17,0.65,10.6,7,10.36,4.316648680630498,12.0,1
7.6,0.31,0.34,2.5,0.082,26.0,35.0,0.99356,3.22,0.59,12.5,7,8.25,3.2999868000527997,9.0,1
7.3,0.6799999999999999,0.1,1.8,0.074,20.0,56.0,0.99672,3.35,0.56,9.2,5,8.08,4.488863950755829,36.0,1
8.7,0.41,0.41,6.2,0.078,25.0,42.0,0.9953,3.24,0.77,12.6,7,9.52,1.5354813943848478,17.0,1
8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.99692,3.33,0.83,11.1,6,9.610000000000001,4.368161962900169,18.0,1
7.4,0.6799999999999999,0.0,2.2,0.088,16.0,32.0,0.99756,3.58,0.67,10.2,5,8.08,3.672710578588279,16.0,1
6.9,0.49,0.19,1.7,0.079,13.0,26.0,0.99547,3.38,0.64,9.8,6,7.580000000000001,4.458797301192346,13.0,1
9.5,0.39,0.41,8.9,0.069,18.0,39.0,0.99859,3.29,0.81,10.9,7,10.3,1.157302070447112,21.0,1
6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.99294,3.36,0.62,12.2,6,7.12,2.157569219487214,41.0,1
6.9,0.44,0.0,1.4,0.07,32.0,38.0,0.99438,3.32,0.58,11.4,6,7.340000000000001,5.242819694145043,6.0,1
7.6,0.6799999999999999,0.0,1.7,0.076,33.0,45.0,0.99612,3.31,0.62,10.7,6,8.28,4.870559584943617,12.0,1
7.1,0.43,0.17,1.8,0.082,27.0,51.0,0.99634,3.49,0.64,10.4,5,7.699999999999999,4.277754012477708,24.0,1
9.3,0.49,0.36,1.7,0.081,3.0,14.0,0.99702,3.27,0.78,10.9,6,10.15,5.970553114393445,11.0,1
9.3,0.5,0.36,1.8,0.084,6.0,17.0,0.99704,3.27,0.77,10.8,6,10.16,5.644413086593963,11.0,1
8.5,0.46,0.59,1.4,0.10800000000000001,16.0,45.0,0.99702,3.03,0.855,9.2,5,9.55,6.8213798472868055,29.0,1
5.6,0.605,0.05,2.4,0.073,19.0,25.0,0.99258,3.56,0.55,12.9,5,6.255,2.606239140670247,6.0,1
8.3,0.33,0.42,2.3,0.07,9.0,20.0,0.99426,3.38,0.77,12.7,7,9.05,3.9347655010195615,11.0,1
8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1,6,9.11,4.554977225113874,72.0,1
8.9,0.48,0.53,4.0,0.101,3.0,10.0,0.99586,3.21,0.59,12.1,7,9.91,2.4774938062654845,7.0,1
7.6,0.42,0.25,3.9,0.104,28.0,90.0,0.99784,3.15,0.57,9.1,5,8.27,2.1205073833144015,62.0,1
9.65,0.53,0.57,2.4,0.093,30.0,52.0,0.9971,3.19,0.76,11.6,7,10.75,4.4791480035499855,22.0,1
9.65,0.23,0.57,1.8,0.074,3.0,8.0,0.9981,3.14,0.7,9.9,6,10.450000000000001,5.805523302648319,5.0,1
9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.99462,3.21,0.69,12.5,8,10.0,5.555524691529492,9.0,1
8.0,0.38,0.44,1.9,0.098,6.0,15.0,0.9956,3.3,0.64,11.4,6,8.82,4.64208083115352,9.0,1
9.65,0.29,0.6400000000000001,2.4,0.075,6.0,17.0,0.99565,3.22,0.63,11.8,6,10.58,4.408314965354311,11.0,1
8.2,0.6799999999999999,0.09,2.0,0.067,5.0,10.0,0.99418,3.28,0.57,11.8,6,8.969999999999999,4.484977575112124,5.0,1
7.7,0.61,0.18,2.4,0.083,6.0,20.0,0.9963,3.29,0.6,10.2,6,8.49,3.5374852604780815,14.0,1
6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.99358,3.4,0.72,12.5,7,7.199999999999999,2.999987500052083,13.0,1
9.65,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83,10.9,7,10.49,4.768160144726615,7.0,1
8.0,0.62,0.35,2.8,0.086,28.0,52.0,0.997,3.31,0.62,10.8,5,8.969999999999999,3.2035599872857596,24.0,1
9.3,0.33,0.45,1.5,0.057,19.0,37.0,0.99498,3.18,0.855,11.1,7,10.08,6.719955200298664,18.0,1
7.5,0.6799999999999999,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5,8.379999999999999,1.0345666239918223,62.0,1
7.2,0.35,0.26,1.8,0.083,33.0,75.0,0.9968,3.4,0.58,9.5,6,7.81,4.3388647840845325,42.0,1
8.0,0.62,0.33,2.7,0.088,16.0,37.0,0.9972,3.31,0.58,10.7,6,8.95,3.314802537768378,21.0,1
9.1,0.25,0.34,2.0,0.071,45.0,67.0,0.99769,3.44,0.855,10.2,7,9.69,4.844975775121124,22.0,1
9.65,0.32,0.56,2.0,0.073,3.0,8.0,0.99534,3.15,0.73,11.4,6,10.530000000000001,5.264973675131625,5.0,1
8.6,0.37,0.6400000000000001,6.4,0.08,3.0,8.0,0.99817,3.27,0.58,11.0,5,9.61,1.5015601538122596,5.0,1
7.9,0.3,0.6400000000000001,8.3,0.05,37.5,272.125,0.99316,3.01,0.51,12.3,7,8.840000000000002,1.065058957760292,234.625,1
9.65,0.27,0.56,1.4,0.047,3.0,8.0,0.99471,3.16,0.51,11.8,6,10.48,7.485660816708452,5.0,1
7.9,0.3,0.6400000000000001,8.3,0.05,37.5,272.125,0.99316,3.01,0.51,12.3,7,8.840000000000002,1.065058957760292,234.625,1
7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,3.42,0.59,9.5,6,7.88,4.377753456925239,39.0,1
8.7,0.42,0.45,2.4,0.072,32.0,59.0,0.99617,3.33,0.77,12.0,6,9.569999999999999,3.987483385485893,27.0,1
6.8,0.48,0.08,1.8,0.074,40.0,64.0,0.99529,3.12,0.49,9.6,5,7.359999999999999,4.088866172965705,24.0,1
8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6,7,9.24,1.9659532639292259,6.0,1
